video_id,view_count,like_count,comment_count
fP4tKcungJA,1479337,14702,98
WCb5hJRfMG8,462740,5348,74
I-xfiu_fqOM,1880087,25360,265
inCNjAzi5Xw,7575507,129391,1038
VpdDnAUKtPM,282518,9566,48
-EkUJGYfaI8,288054,0,43
hYI24x5hX48,30106198,85456,1419
7y5M6eE7PyY,1620,15,0
EFoMW2lUwXQ,1356,9,0
kTA3e4_b34I,733254,10295,178
aWsmWqAFSLs,12129303,515542,0
E_dZ8wS87II,38334,179,6
K84Kr4kcAjA,6284646,256906,2836
67xtibBUQ3A,30504,518,10
mNTr2rqh_H4,17825,354,13
RO6GjivgsCo,36001,266,19
IrB0Pl3ctB0,4579800,227236,217
P7_5qEg-ZXI,360706,2469,95
iSZWnBMOMHI,533147,12127,103
fSqCIqxCKYc,72238,0,31
_WphiOEl2XA,773,7,0
4500oC_l8Ls,314275,5863,101
8rYv8X2z9OI,936,38,2
_LOZzT9Gtg8,284,8,1
ysS4Kk0USGA,12072510,359822,1977
H_DqaMyYV4w,6489,49,3
0cPVOaQJ7o8,6854,26,0
DD4AOLd1-Lo,107,2,0
sPETvshkcEA,974,37,2
Y9ExHFewt_8,250976,0,15
xN_XMy_NSc0,296,9,0
ZffR97u6bNU,1336,38,0
yEih3z6fooA,1060,4,0
nLE2GKXeMOM,271152,0,4
SwzAAbPz0ZQ,779,19,0
9Nyrdccpw9g,6545,0,8
6S8kLhEuE1Y,1694,55,2
bo2IadWfbbA,1059,17,9
QGM8scYL9fo,2284,40,2
2jHopCHaJ0g,736,16,0
5eoHk2SnE_M,2175,80,2
tcFjWHEHass,4899,99,10
sIXaqfc2I7g,1097,27,0
05HVQ11lK_o,60,0,0
lS7ep3GN2J0,140087,2110,79
NDA-7HsBiZo,10118,175,4
b0x0uSdiNZY,51,0,0
dGC0V568yAA,2112,21,7
aITOXIOCAxk,2490,69,6
x_qmSjA3kNk,8474973,368119,473
